ligand,display,category,scope,formal_charge,nitrogen_atoms,has_permanent_cation,has_anion,heavy_atoms,mol_wt,SMILES,max_response,hit_breadth_03,hit_breadth_10,any_hit_03,any_hit_10
ciprofloxacin hydrochloride hydrate,ciprofloxacin,Pharmaceuticals,non-alkaloid uncharged,0,3,False,False,26,385.823,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.O.Cl,2.501912046,11,8,True,True
-atenolol,-atenolol,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,19,266.34099999999995,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,0.7294455067,8,0,True,False
digoxin,digoxin,Pharmaceuticals,non-alkaloid uncharged,0,0,False,False,55,780.9490000000003,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C7(C)C(C8=CC(=O)OC8)CCC67)C4)OC3C)OC2C)C(O)C(O)C1O,0.7047763129,2,0,True,False
cyclosporin A,cyclosporin A,Pharmaceuticals,non-alkaloid uncharged,0,11,False,False,85,1202.634999999999,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,0.6195464068,1,0,True,False
phenytoin,phenytoin,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,19,252.273,O=C1NC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)N1,0.3016297088,1,0,True,False
rosuvastatin,rosuvastatin,Pharmaceuticals,non-alkaloid uncharged,0,3,False,False,33,481.54600000000016,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,0.2230185497,0,0,False,False
glyburide (potassium salt),glyburide (potassium salt),Pharmaceuticals,non-alkaloid uncharged,0,3,False,False,33,494.0130000000003,COC1=CC=C(Cl)C=C1C(=O)NCCC2=CC=C(S(=O)(=O)NC(=O)NC3CCCCC3)C=C2,0.1677610553,0,0,False,False
Acetaminophen,Acetaminophen,Pharmaceuticals,non-alkaloid uncharged,0,1,False,False,11,151.165,CC(=O)NC1=CC=C(O)C=C1,0.1540895243,0,0,False,False
atorvastatin (calcium salt hydrate),atorvastatin,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,31,422.50000000000017,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C3=CC=C(F)C=C3)C(C(=O)O)=C(N1)C(C)C,0.1108511261,0,0,False,False
lamotrigine,lamotrigine,Pharmaceuticals,non-alkaloid uncharged,0,5,False,False,16,256.096,NC1=NC(=C(N=N1)C2=CC=CC(Cl)=C2Cl)N,0.09036939313,0,0,False,False
carbamazepine,carbamazepine,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,18,236.274,NC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C13,0.08665105387,0,0,False,False
everolimus,everolimus,Pharmaceuticals,non-alkaloid uncharged,0,2,False,False,76,1077.4039999999998,COC1CC(CCC1OCCO)CC(C)C2CC(=O)C(C)=CC=CC=CC(OC)C(OC3OC(C)CC(C3O)N(C)C)C(C)CC(C)C(=O)C(OC)C(O)C(C)=CC(C)C(=O)C4CCN(C)CC4OC(=O)C(C)(CO)O2,0.08306709265,0,0,False,False
colchicine,colchicine,Pharmaceuticals,non-alkaloid uncharged,0,1,False,False,23,315.3250000000001,COC1=CC2=C(C(=O)C(C)=CC(=O)C=C2NC(C)=O)C=C1OC,0.07499414108,0,0,False,False
