ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
DEET,,,,,,,,,,,,,,,,,,
uric acid,,,,,,,,,,,,,,,,,,
sodium L-lactate,,,,,,,,,,,,,,,,,,
creatinine,,,,,,,,,,,,,,,,,,
taurine,,,,,,,,,,,,,,,,,,
D-(+)-glucosamine hydrochloride,,,,,,,,,,,,,,,,,,
L-carnosine,,,,,,,,,,,,,,,,,,
l-carnitine,,,,,,,,,,,,,,,,,,
DHEA,0.0495966338276097,0.0388034380385349,0.0322403220760965,0.0239026595339115,0.048241744074652,0.04513210415291,0.0432743787100743,0.1043519056143366,0.0415024395767968,0.0810288070990224,0.0710359741855831,0.0183810222001631,0.0470061133685928,0.0284863420519374,0.0212817412361689,0.0628094376717352,0.1028047029423476,0.0514894103795966
corticosterone,0.0299251744849406,0.0366054959486069,0.0582347115850433,0.0215977062454098,0.0552101098596445,0.0424442097689653,0.0573952575869221,0.0883051377657194,0.0681854882104175,0.0860838796774566,0.0865548602941036,0.0348374685676098,0.0316244903812199,0.0200033869570303,0.0494864544091258,0.0507361045919623,0.0730889299072167,0.0336531774092619
progesterone,0.0818389769508711,0.0172522380335512,0.0467046997572878,0.0403107113896136,0.0450392195357041,0.0411375460590906,0.0619334809753758,0.1469226281541262,0.0330121460342925,0.1293715606178469,0.1029483379063053,0.013907858701839,0.0282113157645897,0.0142533362488141,0.0434911817311859,0.3329993222074178,0.0616952687339635,0.0580970481743691
mono(2‐ethylhexyl) phthalate (mehp),0.0791126592604391,0.0521778497130385,0.0280104936643644,0.0162308944170304,0.0418101619270463,0.0429841002155656,0.0432851653947454,0.133221008672955,0.0303653337228329,0.0856864654406898,0.0531112306644562,0.0172287140786762,0.0385213565791759,0.0360776805759374,0.0582468140585565,0.0529661673569866,0.1137700965583134,0.0266084316860713
Fipronil,0.1139973136699858,0.0206405746183921,0.0253678247135269,0.0230797143092272,0.0441501652336165,0.04442764350461,0.0447087875200153,0.04456707034671,0.04621362438301,0.0946303698690707,0.0559726122000614,0.032163813786369,0.0344196331058003,0.0165130010736251,0.0207811860332648,0.0147595269187307,0.034098875360985,0.0264662982986528
Acetaminophen,,0.0471977649812582,0.0256855712718101,0.0299160566380709,0.0410387185409482,0.0198035712418557,0.0426632366764358,0.1362518137914174,0.0562449127248666,0.0794871728671969,0.0584438775297445,0.0277090940728752,0.0294892072401746,0.0263082924679027,0.024969111479748,0.0382970173304594,0.0929125734317304,0.0379565601893349
valproic acid sodium salt,0.1186233508003712,0.0808432828585763,0.038632245563224,0.2881245752988596,0.045569431480729,0.2774213203099497,0.0533271436377127,0.26472333500882,0.3732453709235254,0.0750598223406673,0.1464301912827886,0.0667127972120886,0.0927548543916828,0.0162637669596819,0.0570423810417851,0.0553034005848504,0.4873688954340162,0.095647319574614
Histamine dihydrochloride,0.0554049321590302,0.0407435393866408,0.0311673454869283,0.0338936481277171,0.0512281028145932,0.0322648891679184,0.0579511588415905,0.04501993145541,0.0691058573570418,0.0839697934285541,0.0792319426195364,0.0440309668392982,0.0496451831684997,0.0147659868820749,0.0298294649524726,0.0207768107166891,0.051146748635828,0.047773736282611
Caffeine,0.0559954987243583,0.0554156013240858,0.0255390367371264,0.0234034140060977,0.0510425042551743,0.0357711031298906,0.0498105803591611,0.1972199718780232,0.063495666146196,0.080979120404116,0.1274086594610654,0.0493885750266913,0.049745450309574,0.0420383864474264,0.0224864645488835,0.0323984891569112,0.0784064809259822,0.075719954153208
Nicotine,0.0119997508025934,0.0807541945032271,0.0517845410890699,0.0304008904407296,0.0469126717041641,0.0298671115699455,0.0660050587187827,0.1736169383171337,0.0760163468531376,0.1184069992663609,0.1285069454882629,0.0363315067814874,0.0521895602806022,0.0257821243689696,0.0277776018859622,0.0357943090845191,0.3829719815948499,0.0543860225097592
phthalic acid,0.0377370396151081,0.003879090505078,0.0252617973902292,0.0117098367560072,0.0197411895370526,0.0036736847309356,0.0345795330010422,0.0383411207562358,0.093855884609151,0.1241962139648833,0.0393897989198844,0.0315349730659775,0.0492184526490776,0.0102337261194495,0.0236378498320158,0.0321659734675657,0.0182144890247556,0.0221396009089939
methylsilanetriol (MST),0.0553465646924796,0.0071205770733795,0.0228852115066457,0.0129474953797355,0.019705594182694,0.0012126485346746,0.0283886398561838,0.035053068735837,0.0341089055687654,0.1149214988180945,0.0658996476850378,0.0337625916882575,0.0537966257092311,0.010322711153838,0.0097606267129004,0.0290057547418108,0.044879066533296,0.0223326052955815
glyburide (potassium salt),0.0497351889237127,0.0108366942752725,0.0225829002824911,0.0570979615794416,0.0192457185888826,0.0112458676889751,0.0296535156054055,0.0384625080971192,0.0408860115856905,0.1144480692719569,0.0521240897283594,0.0373834541826887,0.0520298559256206,0.0112709723006921,0.0096967068880622,0.0327497374819203,0.0267985348678543,0.0225257754410386
