ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
-atenolol,-0.02294534835,0.3039629005,0.0332179182,0.4962242563,0.5477737284,0.7294455067,0.00812427462,0.147826087,-0.01431564245,-0.04751619868,0.03690560683,-0.01164842922,0.03250303767,0.3272629888,0.3392645314,0.5744094488,0.1298701299,0.4415506958
betahistine,-0.05047976637,0.4114671164,0.02542739667,0.7203661327,0.5877040089,0.9502868069,0.06195875368,0.05801853172,0.0003491620077,0.1339092872,0.09226401703,0.01906106601,0.06986634265,0.499196572,0.9893238434,2.549212598,1.398886827,2.748508946
3-methyl-L-histidine,-0.05965790571,0.06112984824,0.09521748539,0.0783180778,0.123039138,0.04684512429,0.03490759754,0.1264433357,0.07576815643,0.1047516199,0.08161816893,0.08224497,0.0379708384,0.06695232995,0.1055753262,0.2283464567,0.1076066791,0.2119284294
L-theanine,-0.120984564,0.05480607082,0.02575200173,-0.102402746,-0.1060846142,0.0258126195,0.04990625837,-0.008695652175,0.02653631285,0.08207343411,0.04968062455,0.009530533003,0.01609963548,0.02999464381,0.06880189798,0.04173228346,0.001855287551,-0.004572564614
ritalinic acid,-0.6596381038,-0.8860352117,-0.6069994982,-0.7706386544,-0.8666783462,-0.9047663312,-0.5291167115,-0.8445683967,-0.6544353402,-0.640078457,-0.2582362729,-0.4897969727,-0.4403201325,-0.8979962133,-0.8861198364,-0.7785826998,-0.8460275097,-0.9084286639
DEHP,0.8803478261,1.970206264,0.05359999999,0.02500943752,0.03479369705,1.292875989,0.05941422594,0.7397468948,3.242033568,0.08958130472,2.509485095,1.090734824,2.413692644,2.6598493,1.901330109,2.406358536,2.37704918,0.8088928151
everolimus,0.03652173913,-0.1749427044,0.04777142857,-0.1557191393,0.01211403588,-0.1517150396,0.03793584379,-0.05999531287,0.01727073704,0.0428432327,-0.06504065041,0.08306709265,0.05826656955,-0.1700753498,-0.2701330109,-0.09831685814,-0.3138173302,-0.1916961131
cyclosporin A,-0.05286956522,-0.1520244461,0.09645714285,0.09324273311,0.6195464068,-0.005936675466,0.07782426778,0.1628779002,0.06689369982,-0.1148977605,-0.1409214092,-0.007348242814,0.0262199563,-0.07642626481,-0.03143893592,0.001068661496,-0.2833723654,0.02650176678
Atrazine,0.02017391305,0.04889228419,0.1005714286,-0.3747640619,0.08616449586,-0.1470976253,0.09707112971,-0.03257558003,-0.1899781075,0.09542356379,-0.3089430894,0.08146964856,-0.1660597232,0.02583423036,0.06215235792,0.086828747,0.2084309134,0.04387514723
tyramine,0.08730434783,0.1344537815,0.08994285714,0.05841827105,0.4110574734,0.194591029,0.1255230126,0.08061870166,0.180004865,0.07789678674,0.1043360434,0.131629393,0.1041514931,0.109795479,0.1550181378,0.1830082821,0.2388758782,0.1024734982
carbamazepine,-0.0532173913,0.01909854851,0.0416,-0.04954699887,0.03342745241,-0.002638522425,0.0529986053,0.03597375205,0.07346144491,0.07497565726,0.02845528456,0.0482428115,0.01893663511,0.05705059204,0.05126964934,0.04835693294,0.08665105387,0.05153121319
melatonin,-0.1492173913,-0.05271199389,-0.009828571427,-0.007266893167,0.02714272703,-0.005277044853,-0.06443514644,-0.0283571596,0.1260034055,-0.07400194741,0.01626016261,0.01565495208,-0.00946831755,-0.01614639397,0.001934703751,0.006679134387,-0.01405152224,-0.01943462897
phenytoin,-0.1373913043,-0.02902979373,-0.02834285714,-0.01425066063,0.03124146097,-0.2598944591,-0.0769874477,-0.005858917271,0.03843347118,-0.17624148,-0.04471544715,0.00766773163,0.01529497451,-0.03121636168,-0.02418379685,0.3016297088,0.02341920375,-0.04093050648
colchicine,-0.04452173913,-0.0473644003,0.02445714286,-0.08937334843,0.01156753803,-0.001978891818,0.05969316597,0.07499414108,0.02018973486,0.04284323273,0.03252032521,0.01086261981,-0.008011653311,-0.06350914962,-0.02345828295,-0.01255677264,0.0,-0.05270906949
lamotrigine,-0.04069565218,0.04430863253,0.02342857142,-0.03765571914,-0.01357136352,0.09036939313,0.05327754532,0.05671431919,0.03770372171,0.01363193763,0.04471544713,0.02492012779,0.04879825199,0.03767491925,0.02732769044,0.02110606464,0.0889929742,0.04976442873
17 beta estradiol,0.1895652174,0.4415584416,0.05771428572,-0.2727444319,0.07496128974,-0.1068601583,0.07057182706,0.267283806,0.2383848212,0.04868549173,0.4037940379,0.2939297125,0.359796067,0.3412271259,0.4960096735,0.4322735773,0.6206088993,0.2588339223
DHEA,0.08313043479,-0.09396485867,0.05737142857,-0.3444696112,0.04381091174,-0.1266490765,0.05662482566,0.1340520272,0.04208221844,0.02531645571,0.0,0.05143769968,-0.01383831027,-0.1141011841,-0.2222490931,0.1028586695,-0.009367681491,-0.1422261484
